popularity,vote_average,vote_count,runtime,release_year,is_drama,is_comedy,is_thriller,is_action,is_romance,is_horror,is_adventure,is_crime,cluster_id,original_title
1.0,0.6493506493506493,0.5690273649687405,0.1377777777777777,1.0,0,0,1,1,0,0,1,0,1,Jurassic World
0.861581616372041,0.7272727272727273,0.6328789586963207,0.1333333333333333,1.0,0,0,1,1,0,0,1,0,1,Mad Max: Fury Road
0.3975190096022828,0.6233766233766234,0.2531515834785282,0.1322222222222222,1.0,0,0,1,0,0,0,1,0,0,Insurgent
0.3387237402100753,0.7792207792207793,0.5413549246694681,0.1511111111111111,1.0,0,0,0,1,0,0,1,0,1,Star Wars: The Force Awakens
0.2829998928626582,0.7532467532467533,0.3010146561443066,0.1522222222222222,1.0,0,0,1,1,0,0,0,1,1,Furious 7
0.2761995516966171,0.7402597402597404,0.4016603464179563,0.1733333333333333,1.0,1,0,1,0,0,0,1,0,0,The Revenant
0.262365040751904,0.5584415584415585,0.2652454647945065,0.1388888888888889,1.0,0,0,1,1,0,0,1,0,1,Terminator Genisys
0.2324442247667459,0.7922077922077924,0.4675617505380752,0.1566666666666666,1.0,1,0,0,0,0,0,1,0,3,The Martian
0.2244639479813342,0.6493506493506493,0.2954801680844522,0.1011111111111111,1.0,0,1,0,0,0,0,1,0,2,Minions
0.1918024896729485,0.8441558441558443,0.4022752895357179,0.1044444444444444,1.0,0,1,0,0,0,0,0,0,2,Inside Out
0.1879668273201312,0.6103896103896105,0.3324792456697755,0.1644444444444444,1.0,0,0,0,1,0,0,1,1,1,Spectre
0.18763598696623,0.4805194805194806,0.1974992313211028,0.1377777777777777,1.0,0,0,0,1,0,0,1,0,1,Jupiter Ascending
0.185498030085645,0.7922077922077924,0.2914830378190017,0.12,1.0,1,0,0,0,0,0,0,0,3,Ex Machina
0.1814401502129801,0.5584415584415585,0.1603976632161525,0.1166666666666666,1.0,0,1,0,1,0,0,0,0,2,Pixels
0.180225441947598,0.7662337662337664,0.4400942912780567,0.1566666666666666,1.0,0,0,0,1,0,0,1,0,1,Avengers: Age of Ultron
